"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","IMMA_VER","ATTM_CT","TIME_IND","LL_IND","SHIP_COURSE","SHIP_SPD","NAT_SOURCE_IND","ID_IND","COUNTRY_CODE","WIND_DIR_IND","WIND_DIR","WIND_SPD_IND","WIND_SPEED","VV_IND","VISIBILITY","PRES_WX","PAST_WX","SEA_LVL_PRES","CHAR_PPP","AMT_PRES_TEND","IND_FOR_TEMP","AIR_TEMP","IND_FOR_WBT","WET_BULB_TEMP","DPT_IND","DEW_PT_TEMP","SST_MM","SEA_SURF_TEMP","TOT_CLD_AMT","LOW_CLD_AMT","LOW_CLD_TYPE","HGT_IND","CLD_HGT","MID_CLD_TYPE","HI_CLD_TYPE","WAVE_PERIOD","WAVE_HGT","SWELL_DIR","SWELL_PERIOD","SWELL_HGT","TEN_BOX_NUM","ONE_BOX_NUM","DECK","SOURCE_ID","PLATFORM_ID","DUP_STATUS","DUP_CHK","NIGHT_DAY_FLAG","TRIM_FLAG","NCDC_QC_FLAGS","EXTERNAL","SOURCE_EXCLUSION_FLAG","OB_SOURCE","OB_PLATFORM","FM_CODE_VER","STA_WX_IND","PAST_WX2","IND_FOR_WAVE_MEAS","DIR_OF_SWELL2","PER_OF_SWELL2","HGT_OF_SWELL2","ICE_ACCR_ON_SHIP","THICKNESS_OF_I","RATE_OF_I","CONCEN_OF_SEA_ICE","STAGE_OF_DEVELP","ICE_OF_LAND_ORIGIN","TRUE_BEARING_ICE_EDGE","ICE_SIT_TREND","IND_FOR_PRECIP","AMT_PRECIP","DUR_OF_PER","QC_IND","QC_IND_FOR_FIELDS","MQCS_VER","SHIP_HEADING","COURSE_OVER_GROUND","SPD_OVER_GROUND","MAX_HT_SUM_LOAD","DEP_LOAD_IN","REL_WIND_DIR","REL_WIND_SPD"
"44625","2006-12-01T01:00:00","43.08","-44.53",,,"1","3","2","5",,,,"3",,,,,,,,,,"10260",,,"3",,,,,,,"185",,,,,,,,,,,,,"173","34","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44766","2006-12-01T01:00:00","40.76","-46.86",,,"1","3","2","5",,,,"3",,,,,,,,,,"10311",,,"3",,,,,,,"191",,,,,,,,,,,,,"173","6","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44771","2006-12-01T01:00:00","48.88","-44.59",,,"1","3","2","5",,,,"3",,,,,,,,,,"10179",,,"3",,,,,,,"72",,,,,,,,,,,,,"173","84","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7362","2006-12-01T01:55:00","47.39","-46.39",,,"1","3","3","5",,,,"6","CA",,,,,,,,,,,,,,,,,,"12","58",,,,,,,,,,,,,"173","76","780","149","17","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44620","2006-12-01T02:00:00","48.74","-42.49",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"173","82","714","63","7","0",,"1","FFFFFF","1AAAAAAAAAAAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44622","2006-12-01T02:00:00","44.37","-44.08",,,"1","3","2","5",,,,"3",,,,,,,,,,"10233",,,"3",,,,,,,"103",,,,,,,,,,,,,"173","44","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44625","2006-12-01T02:00:00","43.12","-44.50",,,"1","3","2","5",,,,"3",,,,,,,,,,"10248",,,"3",,,,,,,"186",,,,,,,,,,,,,"173","34","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44766","2006-12-01T02:00:00","40.76","-46.90",,,"1","3","2","5",,,,"3",,,,,,,,,,"10308",,,"3",,,,,,,"191",,,,,,,,,,,,,"173","6","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44771","2006-12-01T02:00:00","48.86","-44.58",,,"1","3","2","5",,,,"3",,,,,,,,,,"10169",,,"3",,,,,,,"72",,,,,,,,,,,,,"173","84","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44620","2006-12-01T03:00:00","48.74","-42.49",,,"1","3","2","5",,,,"3",,,,,,,,,,"10172",,,"3",,,,,,,"127",,,,,,,,,,,,,"173","82","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44622","2006-12-01T03:00:00","44.38","-44.05",,,"1","3","2","5",,,,"3",,,,,,,,,,"10217",,,"3",,,,,,,"102",,,,,,,,,,,,,"173","44","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44625","2006-12-01T03:00:00","43.12","-44.50",,,"1","3","2","5",,,,"3",,,,,,,,,,"10240",,,"3",,,,,,,"186",,,,,,,,,,,,,"173","34","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44766","2006-12-01T03:00:00","40.77","-46.95",,,"1","3","2","5",,,,"3",,,,,,,,,,"10307",,,"3",,,,,,,"190",,,,,,,,,,,,,"173","6","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44771","2006-12-01T03:00:00","48.86","-44.58",,,"1","3","2","5",,,,"3",,,,,,,,,,"10160",,,"3",,,,,,,"72",,,,,,,,,,,,,"173","84","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44930","2006-12-01T03:00:00","47.75","-44.78",,,"1","3","2","5",,,,"3",,,,,,,,,,"10180",,,"3",,,,,,,"69",,,,,,,,,,,,,"173","74","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"V2XM","2006-12-01T03:00:00","49.20","-49.20",,,"1","6","0","0",,,,"1",,"0","180","3","93",,"96",,,"10090",,,"0","10",,,,,,,"8",,,,"4",,,,,,,,"173","99","992","114","5","1","2","1","F1111F","111AA11AAA1AAA",,,,,,"2",,,,,,,,,,,,,,"4",,,,,,,,,,,,
"44506","2006-12-01T03:47:00","48.83","-40.79",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"148",,,,,,,,,,,,,"173","80","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32546","2006-12-01T03:50:00","40.05","-42.00",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"193",,,,,,,,,,,,,"173","2","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41909","2006-12-01T03:50:00","40.65","-44.14",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"196",,,,,,,,,,,,,"173","4","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44620","2006-12-01T04:00:00","48.74","-42.49",,,"1","3","2","5",,,,"3",,,,,,,,,,"10168",,,"3",,,,,,,"127",,,,,,,,,,,,,"173","82","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44622","2006-12-01T04:00:00","44.38","-44.05",,,"1","3","2","5",,,,"3",,,,,,,,,,"10207",,,"3",,,,,,,"103",,,,,,,,,,,,,"173","44","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44625","2006-12-01T04:00:00","43.16","-44.49",,,"1","3","2","5",,,,"3",,,,,,,,,,"10237",,,"3",,,,,,,"186",,,,,,,,,,,,,"173","34","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44766","2006-12-01T04:00:00","40.77","-46.95",,,"1","3","2","5",,,,"3",,,,,,,,,,"10303",,,"3",,,,,,,"190",,,,,,,,,,,,,"173","6","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44771","2006-12-01T04:00:00","48.86","-44.58",,,"1","3","2","5",,,,"3",,,,,,,,,,"10145",,,"3",,,,,,,"72",,,,,,,,,,,,,"173","84","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44930","2006-12-01T04:00:00","47.75","-44.78",,,"1","3","2","5",,,,"3",,,,,,,,,,"10164",,,"3",,,,,,,"69",,,,,,,,,,,,,"173","74","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44620","2006-12-01T04:10:00","48.75","-42.54",,,"1","3","2","5",,,,"3",,,,,,,,,,"10168",,,"3",,,,,,,"127",,,,,,,,,,,,,"173","82","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44909","2006-12-01T04:20:00","43.42","-48.97",,,"1","3","2","5",,,,"3",,,,,,,,,,"10250",,,"3",,,,,,,"120",,,,,,,,,,,,,"173","38","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7362","2006-12-01T04:25:00","47.41","-46.77",,,"1","3","3","5",,,,"6","CA",,,,,,,,,,,,,,,,,,"12","64",,,,,,,,,,,,,"173","76","780","149","17","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44620","2006-12-01T05:00:00","48.74","-42.49",,,"1","3","2","5",,,,"3",,,,,,,,,,"10157",,,"3",,,,,,,"127",,,,,,,,,,,,,"173","82","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44622","2006-12-01T05:00:00","44.39","-44.02",,,"1","3","2","5",,,,"3",,,,,,,,,,"10204",,,"3",,,,,,,"103",,,,,,,,,,,,,"173","44","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44625","2006-12-01T05:00:00","43.16","-44.49",,,"1","3","2","5",,,,"3",,,,,,,,,,"10239",,,"3",,,,,,,"186",,,,,,,,,,,,,"173","34","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44766","2006-12-01T05:00:00","40.75","-46.95",,,"1","3","2","5",,,,"3",,,,,,,,,,"10300",,,"3",,,,,,,"190",,,,,,,,,,,,,"173","6","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44771","2006-12-01T05:00:00","48.86","-44.58",,,"1","3","2","5",,,,"3",,,,,,,,,,"10131",,,"3",,,,,,,"72",,,,,,,,,,,,,"173","84","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44930","2006-12-01T05:00:00","47.75","-44.78",,,"1","3","2","5",,,,"3",,,,,,,,,,"10146",,,"3",,,,,,,"69",,,,,,,,,,,,,"173","74","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"41909","2006-12-01T05:14:00","40.65","-44.11",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"194",,,,,,,,,,,,,"173","4","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32546","2006-12-01T05:19:00","40.02","-41.91",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"193",,,,,,,,,,,,,"173","1","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44909","2006-12-01T05:20:00","43.41","-48.97",,,"1","3","2","5",,,,"3",,,,,,,,,,"10247",,,"3",,,,,,,"120",,,,,,,,,,,,,"173","38","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44502","2006-12-01T05:27:00","46.40","-43.00",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"98",,,,,,,,,,,,,"173","63","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44506","2006-12-01T05:37:00","48.83","-40.78",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"146",,,,,,,,,,,,,"173","80","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44620","2006-12-01T06:00:00","48.76","-42.55",,,"1","3","2","5",,,,"3",,,,,,,,,,"10147",,,"3",,,,,,,"127",,,,,,,,,,,,,"173","82","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44622","2006-12-01T06:00:00","44.39","-44.02",,,"1","3","2","5",,,,"3",,,,,,,,,,"10205",,,"3",,,,,,,"103",,,,,,,,,,,,,"173","44","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44625","2006-12-01T06:00:00","43.16","-44.49",,,"1","3","2","5",,,,"3",,,,,,,,,,"10242",,,"3",,,,,,,"186",,,,,,,,,,,,,"173","34","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44766","2006-12-01T06:00:00","40.75","-46.95",,,"1","3","2","5",,,,"3",,,,,,,,,,"10303",,,"3",,,,,,,"190",,,,,,,,,,,,,"173","6","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44771","2006-12-01T06:00:00","48.86","-44.60",,,"1","3","2","5",,,,"3",,,,,,,,,,"10108",,,"3",,,,,,,"72",,,,,,,,,,,,,"173","84","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44930","2006-12-01T06:00:00","47.75","-44.78",,,"1","3","2","5",,,,"3",,,,,,,,,,"10130",,,"3",,,,,,,"69",,,,,,,,,,,,,"173","74","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"A8HF6","2006-12-01T06:00:00","47.80","-49.30",,,"1","6",,,"5","4",,"1","DE","0","270","0","80","0","97","2","2","10105","7","40","0","20",,,,,,,"8","8","6","0","2",,,"5","3","32","10","6","173","79","926","112","5","1","1","1","F1111F","1111111AAA1111",,,"4","1","8","1",,,,,,,,,,,,,,"4",,,"6","11111191191111111191","5",,,,,,,
"CGDG","2006-12-01T06:00:00","47.00","-43.00",,,"1","5","0","0","0","0",,"1",,"0","210","4","77",,"97","61","6","10156","7","33","0","65","0","55",,"42","0","124","8",,,,"A",,,"4","3","27","7","8","173","73","992","114","5","1","2","1","111111","11111111111111",,,,,,"1","2",,"32","8","4",,,,,,,,,"4",,,,,,,,,,,,
"HP6038","2006-12-01T06:00:00","46.40","-48.40",,,"1","6",,"0","0","0",,"1",,"0","230","4","206",,"96","10","6","10133","7","26",,"96","0","94",,"90","0","65","8",,"A",,"4","A",,"4","2","33","10","5","173","68","792","103","5","1","2","1","111111","14111111111411",,,,,,"1","2",,"2","14","4",,,,,,,,,"4",,,,,,,,,,,,
"SKUN","2006-12-01T06:00:00","45.80","-49.90",,,"1","6","0","0","2","4",,"1","SE","0","210","3","123","0","96","2","2","10109","7","19","0","112",,,"0","10","1","85","6","6","5","0","4",,,,,,,,"173","59","926","112","5","1","0","1","111111","1114111A111AA1",,,"1","1","8","1","2",,,,,,,,,,,,,"4",,,"2","11111111119991111190","6",,,,,,,
"V2XM","2006-12-01T06:00:00","48.70","-48.50",,,"1","6","0","0",,,,"1",,"0","200","3","123",,"96",,,"10030",,,"0","40",,,,,,,"8",,,,"4",,,,,,,,"173","88","992","114","5","1","2","1","F1111F","111AA11AAA1AAA",,,,,,"2",,,,,,,,,,,,,,"4",,,,,,,,,,,,
"VAAZ","2006-12-01T06:00:00","47.90","-48.30",,,"1","5","0","0","6","1",,"1",,"0","220","4","98",,,,,"10083","6","50","0","43",,,,"47",,,,,,,"A",,,,,,,,"173","78","992","114","5","1","2","1","F11113","11AAA11A3A8AA1",,,,,,"6",,,,,,,,,,,,,,"4",,,,,,,,,,,,
"VEP717","2006-12-01T06:00:00","46.70","-48.70",,,"1","5","0","0","0","0",,"1",,"0","240","4","232",,"96","10","5","10108","7","35","3","87","0","85",,"80",,"56","8","8","6",,"2","A","A","4","3","2","9","5","173","68","992","114","5","1","2","1","111111","11111111111111",,,,,,"1","4",,,,,,,,,,,,,"4",,,,,,,,,,,,
"VRZN7","2006-12-01T06:00:00","43.20","-46.20",,,"1","6","0","0","2","3",,"1",,"0","230","4","144",,"97","2","2","10241","8","15","3","142","0","121",,"110","3","142","8","8","7",,"5","4","A",,,,,,"173","36","992","114","5","1","2","1","111111","11111111111AA1",,,,,,"1","2",,,,,,,,,,,,,"4",,,,,,,,,,,,
"YJUF7","2006-12-01T06:00:00","46.70","-48.00",,,"1","6","0","0","0","0",,"1",,"0","230","4","180",,"91","47","6","10116","7","32","3","76","0","76",,"80","0","48","9","9","A",,"A","A","A","4","3","35","11","6","173","68","992","114","5","1","2","1","111113","11111113311111",,,,,,"1","5",,,,,,,,,,,,,"4",,,,,,,,,,,,
"44909","2006-12-01T06:20:00","43.39","-48.98",,,"1","3","2","5",,,,"3",,,,,,,,,,"10245",,,"3",,,,,,,"120",,,,,,,,,,,,,"173","38","714","63","7","0",,"1","1FFF1F","1AAAA1AAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"32546","2006-12-01T06:45:00","40.02","-41.91",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"193",,,,,,,,,,,,,"173","1","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"7362","2006-12-01T06:52:00","47.38","-46.94",,,"1","3","3","5",,,,"6","CA",,,,,,,,,,,,,,,,,,"12","46",,,,,,,,,,,,,"173","76","780","149","17","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"44502","2006-12-01T06:54:00","46.40","-43.00",,,"1","3","2","5",,,,"3",,,,,,,,,,,,,"3",,,,,,,"98",,,,,,,,,,,,,"173","63","714","63","7","0",,"1","1FFFFF","1AAAAAAAA1AAAA",,"4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
